,Bigfoot State,Bigfoot Details,Bigfoot Date,Bigfoot Latitude,longitude,UFO Details,UFO State,UFO Country,UFO Date,UFO Shape,UFO Sighting Duration,UFO Comments,UFO Latitude
19,or,Report 16624: Couple south of Aurora hears repeated screams; encounter with dog.,11/13/06,45.112590000000004,-122.7875,We are a quiet; rural neighborhood located south of Aurora; OR. Our neighborhood is rural/semi-rural surrounded by a lot of orchards and farms that stretch all the way down to Silver Falls to the south; the Cascades to the east and to the Coast Range to the west. We live on a small lake.  The scream was coming from an area just on the north shore of the lake.,or,us,9/20/2011 20:45,triangle,35 sec,it looked like something of a V shape entered the atmosphere glowing.,42.2458333
20,ok,Report 2041: August 1 1990 Oklahoma; Cherokee County; near Eldon,3/26/01,35.928059999999995,-94.83,Highway 51 and 62 junction; Eldon; Oklahoma and 3 miles east.,mo,us,11/11/2013 05:00,triangle,4 seconds,Triangle over heartland.,39.9416667
21,ok,Report 2041: August 1 1990 Oklahoma; Cherokee County; near Eldon,3/26/01,35.928059999999995,-94.83,Highway 51 and 62 junction; Eldon; Oklahoma and 3 miles east.,mo,us,2/22/2014 05:35,other,5 seconds,Three lights (think part of another bigger object) zoomed across sky.,39.9416667
22,ok,Report 2041: August 1 1990 Oklahoma; Cherokee County; near Eldon,3/26/01,35.928059999999995,-94.83,Highway 51 and 62 junction; Eldon; Oklahoma and 3 miles east.,mo,us,6/16/2012 10:30,oval,:45,Light in the sky,39.9416667
23,tx,Report 13833: Early evening sighting by motorist two miles outside Bon Wier,11/25/81,30.8,-93.7,At least two miles out of Bon Wier.,la,us,4/15/2001 22:00,,3 hours,Not a quick&#44 here then gone event&#44 lasted several hours and witnessed by 6 people,32.0375000
24,tx,Report 55121: Youth has daylight sighting along Texas highway near Jacksboro,7/2/16,33.275,-98.325,281 North,tx,us,10/13/1966 07:00,disk,5 seconds,I was driving to the hospital after work to visit my dad.   Suddenly&#44 about 3 blocks ahead of me a disc lite object appeared.  It arriv,26.2155556
25,tx,Report 55121: Youth has daylight sighting along Texas highway near Jacksboro,7/2/16,33.275,-98.325,281 North,tx,us,5/16/2007 15:00,circle,30 minutes,Unkown Squadron,26.2155556
26,tx,Report 55121: Youth has daylight sighting along Texas highway near Jacksboro,7/2/16,33.275,-98.325,281 North,tx,us,5/2/2014 05:40,triangle,20-30 minutes,Two triangular objects that were in a haze that sometimes had a soft green haze,26.2155556
27,tx,Report 55236: Former park ranger has possible night sighting near a remote Texas game ranch,7/18/16,33.375,-98.3,Incident occurred near several huge wild game ranches; very remote area.,mb,ca,10/10/2004 03:50,changing,20minutes,Series of Green Blue Red White lights spherical or triangular formation SE of Portage la Prairie&#44 Manitoba Canada,49.966667
28,tx,Report 55236: Former park ranger has possible night sighting near a remote Texas game ranch,7/18/16,33.375,-98.3,Incident occurred near several huge wild game ranches; very remote area.,mb,ca,6/30/1966 15:00,disk,about 10 minutes,I was a non-believer in UFOs. However&#44 after being a witness to a sighting&#44 count me as a believer&#33,49.966667
29,tx,Report 55236: Former park ranger has possible night sighting near a remote Texas game ranch,7/18/16,33.375,-98.3,Incident occurred near several huge wild game ranches; very remote area.,mb,ca,7/1/2005 02:00,light,~20-30 minutes,Face to face with the unknown.,49.966667
30,tx,Report 55236: Former park ranger has possible night sighting near a remote Texas game ranch,7/18/16,33.375,-98.3,Incident occurred near several huge wild game ranches; very remote area.,mb,ca,9/8/2012 21:00,circle,2 minutes,3 orange/red balls ufo&#44,49.966667
31,tx,Report 9038: While hunting in Sabine River bottoms; two boys have daytime encounter,8/16/04,32.51667,-94.9,Gladewater. Hwy 80 east to Lockerplant Rd. Follow into river bottoms approx.1.5 miles.,ks,us,6/30/1967 21:00,light,5 mins,Silent light darts to avoid collision.,39.2486111
32,tx,Report 9038: While hunting in Sabine River bottoms; two boys have daytime encounter,8/16/04,32.51667,-94.9,Gladewater. Hwy 80 east to Lockerplant Rd. Follow into river bottoms approx.1.5 miles.,ks,us,7/3/2010 22:00,light,5 min,i saw some lights almost like spotlights and they went in motion like right left then stoped for few seconds then cirled and went away.,39.248611100000005
33,tx,Report 9038: While hunting in Sabine River bottoms; two boys have daytime encounter,8/16/04,32.51667,-94.9,Gladewater. Hwy 80 east to Lockerplant Rd. Follow into river bottoms approx.1.5 miles.,ks,us,8/30/1967 21:00,unknown,5 mins,Two sets of lights blinking alternately.,39.248611100000005
34,ks,Report 7558: Military police find tracks at Ft.Leavenworth,1/8/05,39.3716,-94.9,The tracks were found in the refuge area along the river. The sighting was along the river near the building (cac).,ks,us,6/30/1967 21:00,light,5 mins,Silent light darts to avoid collision.,39.2486111
35,ks,Report 7558: Military police find tracks at Ft.Leavenworth,1/8/05,39.3716,-94.9,The tracks were found in the refuge area along the river. The sighting was along the river near the building (cac).,ks,us,7/3/2010 22:00,light,5 min,i saw some lights almost like spotlights and they went in motion like right left then stoped for few seconds then cirled and went away.,39.248611100000005
36,ks,Report 7558: Military police find tracks at Ft.Leavenworth,1/8/05,39.3716,-94.9,The tracks were found in the refuge area along the river. The sighting was along the river near the building (cac).,ks,us,8/30/1967 21:00,unknown,5 mins,Two sets of lights blinking alternately.,39.248611100000005
37,ut,Report 12289: Possible early morning vocalizations in the Uinta mountains.,8/2/05,40.65,-110.0,We were camped at the lower Twin lake east of Marsh peak and north of Paradise park resevoir.  We hiked in on trail 075 and trail 050 from Paradise park.,sk,ca,3/21/2004 20:00,fireball,seconds,HBCCUFO CANADIAN REPORT:  Blue turned yellow orangey colored Fireball.,53.716667
38,ut,Report 12289: Possible early morning vocalizations in the Uinta mountains.,8/2/05,40.65,-110.0,We were camped at the lower Twin lake east of Marsh peak and north of Paradise park resevoir.  We hiked in on trail 075 and trail 050 from Paradise park.,sk,ca,4/2/2012 19:00,disk,3-4 hours,Foreign Disk shaped object flying about in the sky&#44 moving different directions and a ring around it.,53.283333
39,ut,Report 12289: Possible early morning vocalizations in the Uinta mountains.,8/2/05,40.65,-110.0,We were camped at the lower Twin lake east of Marsh peak and north of Paradise park resevoir.  We hiked in on trail 075 and trail 050 from Paradise park.,ab,ca,7/2/2005 03:00,oval,1 hour,3 oval objects moved oround the sky in a search pattern over time one decended downward.,53.283333
40,az,Report 29358: Brief daylight sighting within the city limits of Show Low,5/31/11,34.0,-110.0,I know that bear cant run on 2 legs and this tree this thing was behind could not hide something going from 4 to 2. Dang it was gone like a ninja.,sk,ca,3/21/2004 20:00,fireball,seconds,HBCCUFO CANADIAN REPORT:  Blue turned yellow orangey colored Fireball.,53.716667
41,az,Report 29358: Brief daylight sighting within the city limits of Show Low,5/31/11,34.0,-110.0,I know that bear cant run on 2 legs and this tree this thing was behind could not hide something going from 4 to 2. Dang it was gone like a ninja.,sk,ca,4/2/2012 19:00,disk,3-4 hours,Foreign Disk shaped object flying about in the sky&#44 moving different directions and a ring around it.,53.283333
42,az,Report 29358: Brief daylight sighting within the city limits of Show Low,5/31/11,34.0,-110.0,I know that bear cant run on 2 legs and this tree this thing was behind could not hide something going from 4 to 2. Dang it was gone like a ninja.,ab,ca,7/2/2005 03:00,oval,1 hour,3 oval objects moved oround the sky in a search pattern over time one decended downward.,53.283333
43,wa,Report 3379: Loud vocalizations heard above Riffe Lake,10/15/90,46.5347,-122.4275,Location withheld,ca,us,11/23/1999 11:15,chevron,5min.-+,70+ chevron-shaped aircraft&#44 approx. 40&#44000`&#44 flying from northeast to southwest over Half Moon Bay&#44 CA&#44 like someone opened up at box,37.4636111
44,wa,Report 3379: Loud vocalizations heard above Riffe Lake,10/15/90,46.5347,-122.4275,Location withheld,ca,us,1/17/2008 08:00,changing,3 hours,Orange lights and triangles over field south of Half Moon Bay.,37.4636111
45,wa,Report 3379: Loud vocalizations heard above Riffe Lake,10/15/90,46.5347,-122.4275,Location withheld,ca,us,12/12/1950 22:00,other,10 minutes,3 blips on a military radar screen flew off the radar screen when military aircraft  approached them.,37.4636111
46,wa,Report 3379: Loud vocalizations heard above Riffe Lake,10/15/90,46.5347,-122.4275,Location withheld,ca,us,5/28/1999 02:00,unknown,8 seconds,My room lit up a brillant orange on three occasions.,37.4636111
47,wa,Report 3379: Loud vocalizations heard above Riffe Lake,10/15/90,46.5347,-122.4275,Location withheld,ca,us,6/1/1975 19:00,oval,5 min,Bright starlike object  near hovered horizon  than ascended very fast.,37.4636111
48,wa,Report 3379: Loud vocalizations heard above Riffe Lake,10/15/90,46.5347,-122.4275,Location withheld,ca,us,7/24/2010 20:41,circle,10 minutes,7-24-10  Yellow-orange bright lit circular object moving vertical and horizontal seen in Half Moon Bay CA.,37.4636111
49,wa,Report 4940: Morning sighting by three fishermen near the east end of Riffe Lake,9/14/02,46.5347,-122.4275,"There was actually a highway closer than SR 12 but I don't know what it is called.  We put in on Riffe Lake @ Mossyrock State Park and ran all the way up the lake to Kosmos.  We were at a point in view of what is called the ""fishing bridge"" and there is a highway there.",ca,us,11/23/1999 11:15,chevron,5min.-+,70+ chevron-shaped aircraft&#44 approx. 40&#44000`&#44 flying from northeast to southwest over Half Moon Bay&#44 CA&#44 like someone opened up at box,37.4636111
50,wa,Report 4940: Morning sighting by three fishermen near the east end of Riffe Lake,9/14/02,46.5347,-122.4275,"There was actually a highway closer than SR 12 but I don't know what it is called.  We put in on Riffe Lake @ Mossyrock State Park and ran all the way up the lake to Kosmos.  We were at a point in view of what is called the ""fishing bridge"" and there is a highway there.",ca,us,1/17/2008 08:00,changing,3 hours,Orange lights and triangles over field south of Half Moon Bay.,37.4636111
51,wa,Report 4940: Morning sighting by three fishermen near the east end of Riffe Lake,9/14/02,46.5347,-122.4275,"There was actually a highway closer than SR 12 but I don't know what it is called.  We put in on Riffe Lake @ Mossyrock State Park and ran all the way up the lake to Kosmos.  We were at a point in view of what is called the ""fishing bridge"" and there is a highway there.",ca,us,12/12/1950 22:00,other,10 minutes,3 blips on a military radar screen flew off the radar screen when military aircraft  approached them.,37.4636111
52,wa,Report 4940: Morning sighting by three fishermen near the east end of Riffe Lake,9/14/02,46.5347,-122.4275,"There was actually a highway closer than SR 12 but I don't know what it is called.  We put in on Riffe Lake @ Mossyrock State Park and ran all the way up the lake to Kosmos.  We were at a point in view of what is called the ""fishing bridge"" and there is a highway there.",ca,us,5/28/1999 02:00,unknown,8 seconds,My room lit up a brillant orange on three occasions.,37.4636111
53,wa,Report 4940: Morning sighting by three fishermen near the east end of Riffe Lake,9/14/02,46.5347,-122.4275,"There was actually a highway closer than SR 12 but I don't know what it is called.  We put in on Riffe Lake @ Mossyrock State Park and ran all the way up the lake to Kosmos.  We were at a point in view of what is called the ""fishing bridge"" and there is a highway there.",ca,us,6/1/1975 19:00,oval,5 min,Bright starlike object  near hovered horizon  than ascended very fast.,37.4636111
54,wa,Report 4940: Morning sighting by three fishermen near the east end of Riffe Lake,9/14/02,46.5347,-122.4275,"There was actually a highway closer than SR 12 but I don't know what it is called.  We put in on Riffe Lake @ Mossyrock State Park and ran all the way up the lake to Kosmos.  We were at a point in view of what is called the ""fishing bridge"" and there is a highway there.",ca,us,7/24/2010 20:41,circle,10 minutes,7-24-10  Yellow-orange bright lit circular object moving vertical and horizontal seen in Half Moon Bay CA.,37.4636111
55,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,10/17/2013 24:00,changing,2 minutes,New Information in order to make sense of sightings.,49.166667
56,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,10/22/2005 02:25,light,,Had a red and yellow light. and left a tail for about10 seconds. vary quiet. flew vary fast.,49.166667
57,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,12/9/2006 06:11,oval,5 seconds,dark oval like object crossed in sky while driving on highway near chilliwack making stereo go warbly / off pitch like battery failing,49.166667
58,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,2/6/2014 07:00,,1 hour,((NUFORC Note:  Witness provides no information.  Elects to remain anonymous; provides no contact information.  PD)),49.166667
59,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,4/20/2011 23:15,disk,more than ten minutes,6 UFO&#39s hovering erratically over stars in Chilliwack&#44 BC.,49.166667
60,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,4/21/2012 22:00,circle,4 hours,Two bright moving orbs in the sky vanishing and re appearing between 22:00PM and 1:00AM.,49.166667
61,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,4/21/2012 22:00,circle,3 minutes in total. 3 dif,AT 22:00pm in Chilliwack&#44 British Columbia&#44 myself and my boyfriend witnessed a UFO from our balcony. I was putting my child in for a b,49.166667
62,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,5/1/2003 22:30,light,15 minutes,Red light and bright white flash seen to the West,49.166667
63,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,5/24/2009 23:30,triangle,5-7 minutes,Large triangles with yellowish-red dots at the corners twisting into the sky,49.166667
64,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,5/28/2007 00:30,triangle,1 mins,Triangular&#44 30ft wide&#44 low floating over chilliwack city at night&#44 no lights&#44 no sound&#44 translucent white; moved circle &amp; straight,49.166667
65,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,6/30/2013 23:13,triangle,3 minutes,3 lights in sky&#44 appear connected and rotating.,49.166667
66,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,7/8/2002 21:15,triangle,approx 1 hour,The crafts were quiet&#44 fast&#44 hovering and illuminated by several lights lining them.,49.166667
67,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,7/8/2013 21:00,light,0:07,I saw something thats just too unordinary hard to explain and i want answers ???,49.166667
68,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,8/24/2003 16:00,fireball,5 sec,Brilliant blue metallic object streaks from sky at steep angle&#44 hit the ground.,49.166667
69,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,8/29/2003 22:50,triangle,~3 mins.,Triangular shape of 3 light points travelling at high altitude ((NUFORC Note:  Possible sighting of &quot;NOSS&quot; satellites.  PD)),49.166667
70,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,9/10/2003 05:00,light,not known,HBCCUFO CANADIAN REPORT:  looking up in the sky I saw a very bright light.,49.166667
71,wa,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,11/29/04,46.05,-121.95,please do not post these on the internet.,bc,ca,9/10/2011 23:30,unknown,15 seconds,Saw something that moved too fast to be either a plane or a satellite and made an impossible right turn then vanished.,49.166667
72,wa,Report 4808: Road trip pit stop in the woods,8/4/02,48.53944,-121.745,About 10-15Miles into North Cascade National Park. Route from Bellingham to Spokane. Near a bigger river.,wa,us,1/26/1995 19:00,light,55 min.,Seattle City Light empl. reports several strange lights&#44 which &quot;bob&quot; below horizon&#44 then reappear.,48.5394444
73,wa,Report 4808: Road trip pit stop in the woods,8/4/02,48.53944,-121.745,About 10-15Miles into North Cascade National Park. Route from Bellingham to Spokane. Near a bigger river.,wa,us,5/5/2004 22:30,sphere,one half hour,We saw a large object that was bright yellow with five or six white lights shining from it&#44 that completely disappeared before our eyes,48.5394444
74,wa,Report 4808: Road trip pit stop in the woods,8/4/02,48.53944,-121.745,About 10-15Miles into North Cascade National Park. Route from Bellingham to Spokane. Near a bigger river.,wa,us,7/19/2004 03:00,light,one minute,Bright light moving at constant speed,48.5394444
75,wa,Report 1809: Two witnesses see a crouched figure on the beach. It stood up and walked into the nearby woods,5/19/73,47.4549,-122.2825,"Jefferson point; Decommisioned Submarine degausing station. ""Very private""",wa,us,11/16/1996 22:15,,45 sec.,Young man sees disc-shaped obj. w/ &quot;double dome--top and bottom&#44 w/ red light around middle&quot; do wild gyrations in N sky.  Streaked.,47.7177778
76,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,10/2/2001 21:30,other,1 or 2 seconds,The object sighted was the same size&#44 shape&#44 and color of a medium sized star traveling diagnally but seemed strange.,47.4066667
77,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,10/2/2012 19:50,chevron,2 minutes,Two chevron-shaped objects flying in formation spotted over Maple Valley&#44 WA.,47.4066667
78,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,11/15/2011 21:00,oval,?,Me and my brother were siting outside on the porch and we saw light in the sky.We looked up and they were blinking and moving we though,47.4066667
79,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,1/20/2004 09:05,other,10 minutes,A ROUND GOLF BALL SHAPED THING WITH MULTIPLE TWINKLING COLORS,47.4066667
80,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,12/3/2000 23:20,formation,5 minutes,3 LIGHTS SEEN IN FORMATION ABOVE MAPLE VALLEY&#44 WA. (USA) ON 12/3/00 @ 11:20PM.,47.4066667
81,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,1/29/2010 00:00,changing,all night and still conti,strange lights make half diamond shape in sky and one approaches the house.,47.4066667
82,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,2/5/2009 06:30,triangle,3 min,Triangle shaped ufo in maple valey almost crashes,47.4066667
83,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,3/22/1996 21:30,oval,45 seconds,Object with flashing colored lights on its underside hovers over home in Maple Valley for almost 1 minute.,47.4066667
84,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,5/21/2011 20:07,triangle,30-70 seconds,Two separate triangles of light (one light per corner),47.4066667
85,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,6/2/2013 00:10,sphere,5 seconds,A silent pulsing orange circular glowing object.,47.4066667
86,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,6/27/2009 17:00,cylinder,15 minutes,Elongated object spotted over Maple Valley,47.4066667
87,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,6/4/2004 18:00,oval,3 minutes,after the incident was gone we  talked about it and really wondered what it really was,47.4066667
88,wa,Report 4403: Late night encounter by young campers in Maple Valley Wa,7/31/75,47.40667,-122.0375,The Riley family owned the Aqua Barn Ranch on the south side of the Cedar River in Maple Valley and another large property; just a little ways east of the Aqua Barn; but on the north side of the Cedar River,wa,us,7/1/1974 06:00,light,2hrs,I saw a light shining through the clouds that looked like the inside of a reflector telescope&#44 with a dark rounded off square with a da,47.4066667
